"No."	"Monoisotopic_Mass"	"Sum_Intensity"	"Number_of_Charge_States"	"Average_Charge"	"Delta_Mass"	"Relative_Abundance"	"Fractional_Abundance"	"RT_Range"	"sample"	"earp"	"efp"	"target_mass"
14	22401.2298	"60153.370000000003"	"6"	"23.058002500584355"	"14970.827000000001"	14.4709899729236	4.47045224113697	"0.200"	"ppu_minus"	"minus"	"ppu"	22256.116
1	10675.3196	"78526.830000000002"	"4"	"12.216240651588491"	"0"	11.8852601250862	6.82878667615413	"0.294"	"ppu_plus"	"plus"	"ppu"	22256.116
2	16647.3182	"36251.720000000001"	"3"	"19.782513903860519"	"5971.9986000000008"	5.48680141783119	3.15249275341524	"0.294"	"ppu_plus"	"plus"	"ppu"	22256.116
3	21935.1127	"119708.5"	"6"	"23.313351412984044"	"11259.793100000001"	18.1182235636391	10.4099937540124	"0.294"	"ppu_plus"	"plus"	"ppu"	22256.116
4	22381.1845	"26394.639999999999"	"3"	"26.069555555676601"	"11705.864899999999"	3.99490419144647	2.29530933508821	"0.294"	"ppu_plus"	"plus"	"ppu"	22256.116
5	22402.2309	"660707.70999999996"	"13"	"22.102817398148211"	"11726.911299999998"	100	57.4559294814308	"0.294"	"ppu_plus"	"plus"	"ppu"	22256.116
6	22424.2048	"66012.699999999997"	"4"	"24.233417852650465"	"11748.885199999999"	9.99121078820164	5.74054302481025	"0.294"	"ppu_plus"	"plus"	"ppu"	22256.116
7	22424.2454	"77075.419999999998"	"4"	"24.556605281616466"	"11748.925799999999"	11.6655850739202	6.70257033366792	"0.294"	"ppu_plus"	"plus"	"ppu"	22256.116
8	22446.2028	"85260.729999999996"	"5"	"24.044160624700417"	"11770.883199999998"	12.9044551334205	7.41437464142096	"0.294"	"ppu_plus"	"plus"	"ppu"	22256.116
1	7913.9482	"288490.02000000002"	"3"	"9.2654727773124286"	"0"	3.78637781030352	3.53814171014136	"0.165"	"eco_plus"	"plus"	"eco"	21413.7785
2	21413.2136	"7619155.6799999997"	"20"	"15.992989400144019"	"13499.2654"	100	93.4439690754932	"0.165"	"eco_plus"	"plus"	"eco"	21413.7785
3	21453.1739	"246070.10999999999"	"5"	"16.402299121896359"	"13539.225700000003"	3.2296243879873	3.01788921436544	"0.165"	"eco_plus"	"plus"	"eco"	21413.7785
1	6378.3243	"108896.12"	"4"	"8.3758128251838748"	"0"	3.40792461209387	1.6683631081978	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
2	6491.4181	"70543.160000000003"	"3"	"7.9675888438936946"	"113.09379999999965"	2.20766149591809	1.08076950473253	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
3	7415.8562	"46902.969999999994"	"3"	"8.9958915634107832"	"1037.5319"	1.46783729157017	0.718585609963955	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
4	7914.1397	"189515.79999999999"	"4"	"10.15230432936206"	"1535.8153999999995"	5.93093270174051	2.90351179767096	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
5	10740.3331	"57822"	"3"	"11.97501590644346"	"4362.0087999999996"	1.80955039463749	0.885872624683167	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
6	10743.8719	"55373.019999999997"	"3"	"11.258632768859897"	"4365.5475999999999"	1.73290910368492	0.848352574522388	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
7	21380.6904	"39400.379999999997"	"4"	"26.226436963382604"	"15002.366099999999"	1.23304232260847	0.603640794924322	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
8	21395.7533	"116714.05"	"5"	"24.138279598734233"	"15017.429"	3.65258820582546	1.78813914791779	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
9	21413.7586	"3195379.3700000001"	"15"	"21.882960570811086"	"15035.434300000001"	100	48.9553994908572	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
10	21434.7292	"835512.23999999999"	"13"	"23.208316461275196"	"15056.404900000001"	26.1475131198584	12.800619504751	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
11	21446.7041	"198188.76999999999"	"8"	"22.889453728147284"	"15068.379799999999"	6.2023549335239	3.03638763554752	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
12	21458.7328	"453704.17999999999"	"12"	"23.694788443675257"	"15080.408500000001"	14.1987578770655	6.95105864145696	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
13	21470.6867	"70137.25"	"4"	"23.034153853800689"	"15092.362399999998"	2.19495846591762	1.07455068564836	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
14	21478.7267	"242908.57999999999"	"9"	"24.037893640885251"	"15100.402399999999"	7.60186982117244	3.72152573972988	"0.114"	"nico_minus"	"minus"	"nico"	22225.4235
